,Fe,C,Si,Mn,P,S,Alt,elasticite,traction,plasticite,resistance_chocs
84,98.056,0.15,0.33,1.43,0.024,0.01,0.023,370,530,29,141.6667
85,98.126,0.13,0.29,1.42,0.024,0.01,0.025,360,510,26,108.3333
86,98.119,0.12,0.31,1.42,0.024,0.007,0.032,350,505,28,155.6667
87,98.019,0.14,0.34,1.47,0.025,0.006,0.027,410,555,24,221.6667
88,98.126,0.16,0.33,1.36,0.02,0.004,0.033,430,565,28,141.6667
89,98.011,0.16,0.36,1.45,0.016,0.003,0.027,395,540,30,91
90,98.029,0.11,0.39,1.45,0.019,0.002,0.023,370,515,24,120.6667
91,98,0.11,0.38,1.49,0.015,0.005,0.025,405,525,29,92.66667
92,98.056,0.15,0.33,1.43,0.024,0.01,0.023,370,515,27,122.3333
93,98.139,0.11,0.32,1.41,0.014,0.007,0.025,370,510,2805,112.3333
94,98.097,0.12,0.32,1.44,0.02,0.003,0.023,400,515,29.5,281.6667
95,98.147,0.1,0.34,1.4,0.011,0.002,0.037,415,525,25.5,207.3333
96,98.12,0.13,0.32,1.41,0.015,0.005,0.031,460,540,29,167.333
97,98.097,0.12,0.32,1.44,0.02,0.003,0.024,395,503,25.5,135.1667
98,98.216,0.11,0.27,1.38,0.017,0.007,0.02,400,505,25.5,193.3333
99,98.228,0.1,0.27,1.38,0.013,0.009,0.021,390,485,21.5,201.3333
100,98.185,0.11,0.37,1.3,0.028,0.007,0.024,370,495,32.5,83
101,98.095,0.14,0.35,1.39,0.02,0.005,0.028,390,540,28,146.6667
102,98.152,0.1,0.33,1.38,0.019,0.019,0.021,390,520,29.5,139.3333
103,98.034,0.11,0.38,1.45,0.021,0.005,0.029,505,615,28.5,221.6667
104,98.042,0.13,0.37,1.43,0.016,0.012,0.027,375,510,29.5,146.6667
105,97.954,0.15,0.39,1.48,0.015,0.011,0.023,375,530,26.5,147
106,97.946,0.15,0.39,1.49,0.014,0.01,0.023,410,520,27,193.6667
107,98.01,0.13,0.35,1.48,0.02,0.01,0.024,345,505,33.5,192.667
108,98.13,0.1,0.32,1.43,0.015,0.005,0.025,410,500,31.5,297
109,98.118,0.11,0.35,1.4,0.017,0.005,0.038,445,570,26,118
110,98.12,0.13,0.32,1.41,0.015,0.005,0.031,524,525,25,268
